id,Cylinder26,Cylinder36,Cylinder46,,
0,48.6,55.4,68.2,1.206439059,55.49619671
1,48.7,55.4,68.3,1.208208031,55.57756943
2,48.8,55.3,68.6,1.213514948,55.8216876
3,49,55.4,68.7,1.21528392,55.90306032
4,49.2,55.5,68.6,1.213514948,55.8216876
5,49.1,55.8,68.4,1.209977003,55.65894215
6,49,55.9,67.9,1.201132142,55.25207854
7,48.8,55.9,67.5,1.194056253,54.92658765
8,48.4,55.7,67.8,1.19936317,55.17070582
9,48.2,55.7,68.2,1.206439059,55.49619671
10,47.9,55.8,68.6,1.213514948,55.8216876
11,47.9,56,68.7,1.21528392,55.90306032
12,47.8,56.1,68.4,1.209977003,55.65894215
13,47.8,56.3,68,1.202901114,55.33345126
14,47.8,56.2,67.6,1.195825226,55.00796038
15,47.9,56.3,67.3,1.190518309,54.76384221
16,47.8,56.3,67.6,1.195825226,55.00796038
17,48,56.4,67.6,1.195825226,55.00796038
18,48.1,56.3,67.6,1.195825226,55.00796038
19,48.4,56.2,67.8,1.19936317,55.17070582
20,48.7,55.9,68.1,1.204670087,55.41482399
21,49,56,68.1,1.204670087,55.41482399
22,49,55.9,68,1.202901114,55.33345126
23,49,55.8,67.8,1.19936317,55.17070582
24,48.7,55.6,67.6,1.195825226,55.00796038
25,48.4,56,67.1,1.186980364,54.60109676
26,48.1,55.9,67,1.185211392,54.51972404
27,47.9,56,67.3,1.190518309,54.76384221
28,47.9,55.7,67.8,1.19936317,55.17070582
29,48.2,55.6,68.2,1.206439059,55.49619671
30,48.5,55.2,68.3,1.208208031,55.57756943
31,48.7,55.1,68.1,1.204670087,55.41482399
32,48.5,55,67.9,1.201132142,55.25207854
33,48.6,55.7,67.5,1.194056253,54.92658765
34,48.6,55.9,67.6,1.195825226,55.00796038
35,48.7,55.9,67.8,1.19936317,55.17070582
36,48.5,55.6,68,1.202901114,55.33345126
37,48.6,55.6,68.1,1.204670087,55.41482399
38,48.6,55.4,68.2,1.206439059,55.49619671
39,48.7,55.5,68.3,1.208208031,55.57756943
40,48.5,55.7,68.3,1.208208031,55.57756943
41,48.6,55.9,68.4,1.209977003,55.65894215
42,48.6,55.9,68.8,1.217052892,55.98443304
43,48.6,55.9,68.9,1.218821864,56.06580577
44,48.5,55.5,68.7,1.21528392,55.90306032
45,48.2,55.7,68.2,1.206439059,55.49619671
46,48,55.7,68.3,1.208208031,55.57756943
47,47.9,55.7,68,1.202901114,55.33345126
48,47.9,55.6,67.4,1.192287281,54.84521493
49,48.1,55.6,66.6,1.178135503,54.19423315
50,48.1,55.6,66.4,1.174597559,54.03148771
51,48.2,55.6,66.7,1.179904475,54.27560587
52,48.3,55.2,67.1,1.186980364,54.60109676
53,48.4,55.5,67.2,1.188749337,54.68246949
54,48.4,55.9,67.1,1.186980364,54.60109676
55,48.5,56,67.1,1.186980364,54.60109676
56,48.6,55.8,67.4,1.192287281,54.84521493
57,48.8,55.9,67.5,1.194056253,54.92658765
58,49,55.7,67.3,1.190518309,54.76384221
59,49.2,55.9,67.7,1.197594198,55.0893331
60,49,56,68.1,1.204670087,55.41482399
61,48.6,56.3,68.1,1.204670087,55.41482399
62,48.2,56.3,68,1.202901114,55.33345126
63,47.8,56.4,68,1.202901114,55.33345126
64,47.6,56.5,68.1,1.204670087,55.41482399
65,47.4,56.6,67.6,1.195825226,55.00796038
66,47.5,56.3,66.9,1.18344242,54.43835132
67,47.8,56.1,66.6,1.178135503,54.19423315
68,47.9,55.8,66.4,1.174597559,54.03148771
69,48.2,55.6,66.1,1.169290642,53.78736954
